train,test,model,layer,rank,limit,seed,directory,dspear,uuas
['be'],['be'],mBERT,6,128,100,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/100/['be']/0,0.4169573334511244,0.3979759536372286
['be'],['be'],mBERT,6,128,1000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/1000/['be']/0,0.7118036238043186,0.6346336822074216
['be'],['be'],mBERT,6,128,10000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/10000/['be']/0,0.7791174878682459,0.7875616296168152
['be'],['be'],mBERT,6,128,2500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/2500/['be']/0,0.7566531756266808,0.7205259060634893
['be'],['be'],mBERT,6,128,5000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/5000/['be']/0,0.7703214988308639,0.7562494593893262
['be'],['be'],mBERT,6,128,7500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/7500/['be']/0,0.7740965178481641,0.7755384482311218
['be'],['be'],mBERT,6,128,,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/None/['be']/0,0.7897402403148026,0.8113484992647695
['cs'],['be'],mBERT,6,128,100,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/100/['cs']/0,0.43611748368342856,0.4124210708416227
['cs'],['be'],mBERT,6,128,1000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/1000/['cs']/0,0.6928413580491556,0.614912204826572
['cs'],['be'],mBERT,6,128,10000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/10000/['cs']/0,0.7603735816463613,0.7480321771473056
['cs'],['be'],mBERT,6,128,2500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/2500/['cs']/0,0.7326439240669258,0.6980365020326962
['cs'],['be'],mBERT,6,128,5000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/5000/['cs']/0,0.7486488225297033,0.7254562754087017
['cs'],['be'],mBERT,6,128,7500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/7500/['cs']/0,0.7535436252696529,0.7392094109506098
['cs'],['be'],mBERT,6,128,,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/None/['cs']/0,0.7733951755449814,0.770781074301531
['de'],['be'],mBERT,6,128,100,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/100/['de']/0,0.4227925194527889,0.39062364847331543
['de'],['be'],mBERT,6,128,1000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/1000/['de']/0,0.6407963796874364,0.5989101288815847
['de'],['be'],mBERT,6,128,2500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/2500/['de']/0,0.7190917360105019,0.6848023527376524
['de'],['be'],mBERT,6,128,5000,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/5000/['de']/0,0.7406382279659669,0.7142115733933051
['de'],['be'],mBERT,6,128,7500,0,/home/amysiak/thesis/multilingual-probing-visualization/probingOutputs/all_slavic/BERT-disk_128/['be']/7500/['de']/0,0.7509079366612714,0.7285701928898884
